tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-04-26,DKI4 (Lubang Buaya),64,117,37,11,22,14,117,PM25,TIDAK SEHAT
2021-04-27,DKI4 (Lubang Buaya),75,138,38,11,27,13,138,PM25,TIDAK SEHAT
2021-04-28,DKI4 (Lubang Buaya),55,94,37,9,28,17,94,PM25,SEDANG
2021-04-29,DKI4 (Lubang Buaya),51,78,37,12,23,19,78,PM25,SEDANG
2021-04-30,DKI4 (Lubang Buaya),57,85,36,---,26,17,85,PM25,SEDANG
2021-04-01,DKI5 (Kebon Jeruk) Jakarta Barat,15,34,24,3,16,4,34,PM25,BAIK
2021-04-02,DKI5 (Kebon Jeruk) Jakarta Barat,35,58,38,7,19,16,58,PM25,SEDANG
2021-04-03,DKI5 (Kebon Jeruk) Jakarta Barat,21,47,20,6,22,12,47,PM25,BAIK
2021-04-04,DKI5 (Kebon Jeruk) Jakarta Barat,62,102,20,30,19,37,102,PM25,TIDAK SEHAT
2021-04-05,DKI5 (Kebon Jeruk) Jakarta Barat,47,76,24,12,22,28,76,PM25,SEDANG
2021-04-06,DKI5 (Kebon Jeruk) Jakarta Barat,30,54,31,4,18,6,54,PM25,SEDANG
2021-04-07,DKI5 (Kebon Jeruk) Jakarta Barat,25,42,30,4,17,6,42,PM25,BAIK
2021-04-08,DKI5 (Kebon Jeruk) Jakarta Barat,32,55,51,5,14,12,55,PM25,SEDANG
2021-04-09,DKI5 (Kebon Jeruk) Jakarta Barat,52,77,34,7,18,21,77,PM25,SEDANG
2021-04-10,DKI5 (Kebon Jeruk) Jakarta Barat,45,77,31,9,24,18,77,PM25,SEDANG
2021-04-11,DKI5 (Kebon Jeruk) Jakarta Barat,46,75,50,9,31,18,75,PM25,SEDANG
2021-04-12,DKI5 (Kebon Jeruk) Jakarta Barat,58,90,30,19,21,31,90,PM25,SEDANG
2021-04-13,DKI5 (Kebon Jeruk) Jakarta Barat,50,78,30,15,30,27,78,PM25,SEDANG
2021-04-14,DKI5 (Kebon Jeruk) Jakarta Barat,48,79,31,12,27,23,79,PM25,SEDANG
2021-04-15,DKI5 (Kebon Jeruk) Jakarta Barat,54,88,23,24,30,42,88,PM25,SEDANG
2021-04-16,DKI5 (Kebon Jeruk) Jakarta Barat,55,88,29,18,23,44,88,PM25,SEDANG
2021-04-17,DKI5 (Kebon Jeruk) Jakarta Barat,67,118,29,16,28,31,118,PM25,TIDAK SEHAT
2021-04-18,DKI5 (Kebon Jeruk) Jakarta Barat,55,93,29,11,32,16,93,PM25,SEDANG
2021-04-19,DKI5 (Kebon Jeruk) Jakarta Barat,62,108,32,13,32,19,108,PM25,TIDAK SEHAT
2021-04-20,DKI5 (Kebon Jeruk) Jakarta Barat,51,88,32,9,28,20,88,PM25,SEDANG
2021-04-21,DKI5 (Kebon Jeruk) Jakarta Barat,62,105,25,15,25,25,105,PM25,TIDAK SEHAT
2021-04-22,DKI5 (Kebon Jeruk) Jakarta Barat,56,96,26,9,39,17,96,PM25,SEDANG
2021-04-23,DKI5 (Kebon Jeruk) Jakarta Barat,66,111,26,12,33,22,111,PM25,TIDAK SEHAT
2021-04-24,DKI5 (Kebon Jeruk) Jakarta Barat,60,99,29,12,37,24,99,PM25,SEDANG
2021-04-25,DKI5 (Kebon Jeruk) Jakarta Barat,58,97,23,12,27,19,97,PM25,SEDANG
2021-04-26,DKI5 (Kebon Jeruk) Jakarta Barat,52,82,28,10,26,19,82,PM25,SEDANG
2021-04-27,DKI5 (Kebon Jeruk) Jakarta Barat,56,95,33,9,28,18,95,PM25,SEDANG
2021-04-28,DKI5 (Kebon Jeruk) Jakarta Barat,49,81,21,10,26,22,81,PM25,SEDANG
2021-04-29,DKI5 (Kebon Jeruk) Jakarta Barat,43,73,22,14,26,25,73,PM25,SEDANG
2021-04-30,DKI5 (Kebon Jeruk) Jakarta Barat,52,83,23,12,28,23,83,PM25,SEDANG
2021-02-01,DKI1 (Bunderan HI),59,79,21,26,15,31,79,PM25,SEDANG
2021-02-02,DKI1 (Bunderan HI),30,46,21,14,16,24,46,PM25,BAIK
2021-02-03,DKI1 (Bunderan HI),23,33,19,11,14,19,33,PM25,BAIK
2021-02-04,DKI1 (Bunderan HI),36,53,23,14,12,24,53,PM25,SEDANG
2021-02-05,DKI1 (Bunderan HI),29,36,20,14,12,21,36,PM25,BAIK
2021-02-06,DKI1 (Bunderan HI),27,34,21,8,21,15,34,PM25,BAIK
2021-02-07,DKI1 (Bunderan HI),25,23,19,7,19,12,25,PM10,BAIK
2021-02-08,DKI1 (Bunderan HI),24,26,19,10,18,17,26,PM25,BAIK
2021-02-09,DKI1 (Bunderan HI),33,40,22,12,14,22,40,PM25,BAIK
2021-02-10,DKI1 (Bunderan HI),32,38,21,10,12,16,38,PM25,BAIK
2021-02-11,DKI1 (Bunderan HI),26,37,23,13,9,17,37,PM25,BAIK
2021-02-12,DKI1 (Bunderan HI),41,52,26,16,10,16,52,PM25,SEDANG
2021-02-13,DKI1 (Bunderan HI),25,37,20,9,19,16,37,PM25,BAIK
2021-02-14,DKI1 (Bunderan HI),33,47,18,11,19,19,47,PM25,BAIK
2021-02-15,DKI1 (Bunderan HI),34,47,20,13,17,25,47,PM25,BAIK
2021-02-16,DKI1 (Bunderan HI),26,28,18,11,18,26,28,PM25,BAIK
2021-02-17,DKI1 (Bunderan HI),39,57,23,23,12,33,57,PM25,SEDANG
2021-02-18,DKI1 (Bunderan HI),43,59,29,13,12,29,59,PM25,SEDANG
2021-02-19,DKI1 (Bunderan HI),29,41,19,20,12,23,41,PM25,BAIK
2021-02-20,DKI1 (Bunderan HI),30,38,18,11,18,20,38,PM25,BAIK
2021-02-21,DKI1 (Bunderan HI),31,45,18,10,16,17,45,PM25,BAIK
2021-02-22,DKI1 (Bunderan HI),51,67,20,18,11,23,67,PM25,SEDANG
2021-02-23,DKI1 (Bunderan HI),50,64,22,11,20,23,64,PM25,SEDANG
2021-02-24,DKI1 (Bunderan HI),30,42,22,10,9,16,42,PM25,BAIK
2021-02-25,DKI1 (Bunderan HI),31,48,26,12,14,17,48,PM25,BAIK
2021-02-26,DKI1 (Bunderan HI),29,38,18,13,18,20,38,PM25,BAIK
2021-02-27,DKI1 (Bunderan HI),49,67,23,15,17,31,67,PM25,SEDANG
2021-02-28,DKI1 (Bunderan HI),43,60,19,12,19,18,60,PM25,SEDANG
2021-02-01,DKI2 (Kelapa Gading),64,87,38,16,46,25,87,PM25,SEDANG
2021-02-02,DKI2 (Kelapa Gading),30,42,38,4,55,15,55,O3,SEDANG
2021-02-03,DKI2 (Kelapa Gading),24,35,38,4,42,15,42,O3,BAIK
2021-02-04,DKI2 (Kelapa Gading),33,50,39,7,47,15,50,PM25,BAIK
2021-02-05,DKI2 (Kelapa Gading),25,35,39,5,45,13,45,O3,BAIK
2021-02-06,DKI2 (Kelapa Gading),30,38,37,---,57,9,57,O3,SEDANG
2021-02-07,DKI2 (Kelapa Gading),28,30,37,---,57,5,57,O3,SEDANG
2021-02-08,DKI2 (Kelapa Gading),26,31,37,---,54,12,54,O3,SEDANG
2021-02-09,DKI2 (Kelapa Gading),33,50,39,6,47,16,50,PM25,BAIK
2021-02-10,DKI2 (Kelapa Gading),34,46,39,4,49,10,49,O3,BAIK
2021-02-11,DKI2 (Kelapa Gading),33,49,43,6,35,11,49,PM25,BAIK
2021-02-12,DKI2 (Kelapa Gading),43,62,43,14,33,11,62,PM25,SEDANG
2021-02-13,DKI2 (Kelapa Gading),27,47,38,8,40,11,47,PM25,BAIK
2021-02-14,DKI2 (Kelapa Gading),34,53,40,11,42,14,53,PM25,SEDANG
2021-02-15,DKI2 (Kelapa Gading),36,52,39,13,37,17,52,PM25,SEDANG
2021-02-16,DKI2 (Kelapa Gading),28,41,38,11,42,15,42,O3,BAIK
2021-02-17,DKI2 (Kelapa Gading),41,61,40,25,41,27,61,PM25,SEDANG
2021-02-18,DKI2 (Kelapa Gading),40,55,44,10,41,16,55,PM25,SEDANG
2021-02-19,DKI2 (Kelapa Gading),32,51,42,16,41,20,51,PM25,SEDANG
2021-02-20,DKI2 (Kelapa Gading),31,34,38,8,53,9,53,O3,SEDANG
2021-02-21,DKI2 (Kelapa Gading),36,40,39,9,48,9,48,O3,BAIK
2021-02-22,DKI2 (Kelapa Gading),60,69,42,15,41,19,69,PM25,SEDANG
2021-02-23,DKI2 (Kelapa Gading),48,61,40,9,54,17,61,PM25,SEDANG
2021-02-24,DKI2 (Kelapa Gading),30,39,40,10,33,10,40,SO2,BAIK
2021-02-25,DKI2 (Kelapa Gading),30,45,43,12,45,12,45,PM25,BAIK
2021-02-26,DKI2 (Kelapa Gading),45,54,43,13,---,19,54,PM25,SEDANG
2021-02-27,DKI2 (Kelapa Gading),59,71,44,15,50,20,71,PM25,SEDANG
2021-02-28,DKI2 (Kelapa Gading),66,76,40,14,60,18,76,PM25,SEDANG
2021-02-01,DKI3 (Jagakarsa),73,110,28,18,26,18,110,PM25,TIDAK SEHAT
2021-02-02,DKI3 (Jagakarsa),53,70,25,10,27,14,70,PM25,SEDANG
2021-02-03,DKI3 (Jagakarsa),32,53,27,6,24,9,53,PM25,SEDANG
2021-02-04,DKI3 (Jagakarsa),29,54,26,11,24,13,54,PM25,SEDANG
2021-02-05,DKI3 (Jagakarsa),27,51,24,10,24,12,51,PM25,SEDANG
2021-02-06,DKI3 (Jagakarsa),34,53,24,8,32,12,53,PM25,SEDANG
2021-02-07,DKI3 (Jagakarsa),33,50,24,9,30,13,50,PM25,BAIK
2021-02-08,DKI3 (Jagakarsa),26,42,24,9,35,12,42,PM25,BAIK
2021-02-09,DKI3 (Jagakarsa),33,53,25,9,23,12,53,PM25,SEDANG
2021-02-10,DKI3 (Jagakarsa),50,64,24,11,23,10,64,PM25,SEDANG
2021-02-11,DKI3 (Jagakarsa),38,57,23,6,18,7,57,PM25,SEDANG
2021-02-12,DKI3 (Jagakarsa),63,98,25,13,20,8,98,PM25,SEDANG
2021-02-13,DKI3 (Jagakarsa),59,89,26,12,30,13,89,PM25,SEDANG
2021-02-14,DKI3 (Jagakarsa),55,73,25,11,35,13,73,PM25,SEDANG
2021-02-15,DKI3 (Jagakarsa),40,62,24,9,32,12,62,PM25,SEDANG
2021-02-16,DKI3 (Jagakarsa),36,51,24,9,34,15,51,PM25,SEDANG
2021-02-17,DKI3 (Jagakarsa),46,67,26,15,28,18,67,PM25,SEDANG
2021-02-18,DKI3 (Jagakarsa),53,70,28,8,26,12,70,PM25,SEDANG
2021-02-19,DKI3 (Jagakarsa),28,51,25,13,23,14,51,PM25,SEDANG
2021-02-20,DKI3 (Jagakarsa),45,59,25,13,29,15,59,PM25,SEDANG
2021-02-21,DKI3 (Jagakarsa),29,42,24,7,30,9,42,PM25,BAIK
2021-02-22,DKI3 (Jagakarsa),68,103,26,22,30,14,103,PM25,TIDAK SEHAT
2021-02-23,DKI3 (Jagakarsa),66,90,26,12,29,16,90,PM25,SEDANG
2021-02-24,DKI3 (Jagakarsa),---,---,---,---,---,---,0,,TIDAK ADA DATA
2021-02-25,DKI3 (Jagakarsa),27,54,25,6,24,7,54,PM25,SEDANG
2021-02-26,DKI3 (Jagakarsa),41,61,25,10,40,16,61,PM25,SEDANG
2021-02-27,DKI3 (Jagakarsa),50,73,27,10,41,16,73,PM25,SEDANG
2021-02-28,DKI3 (Jagakarsa),64,94,25,13,27,15,94,PM25,SEDANG
2021-02-01,DKI4 (Lubang Buaya),---,---,---,---,---,---,0,,TIDAK ADA DATA
2021-02-02,DKI4 (Lubang Buaya),37,59,40,14,22,12,59,PM25,SEDANG
2021-02-03,DKI4 (Lubang Buaya),24,52,40,9,21,8,52,PM25,SEDANG
2021-02-04,DKI4 (Lubang Buaya),19,53,40,12,19,10,53,PM25,SEDANG
2021-02-05,DKI4 (Lubang Buaya),19,41,40,12,20,9,41,PM25,BAIK
2021-02-06,DKI4 (Lubang Buaya),18,48,40,7,28,6,48,PM25,BAIK
2021-02-07,DKI4 (Lubang Buaya),25,55,40,10,22,11,55,PM25,SEDANG
2021-02-08,DKI4 (Lubang Buaya),17,44,39,10,21,9,44,PM25,BAIK
2021-02-09,DKI4 (Lubang Buaya),31,57,40,13,19,9,57,PM25,SEDANG
2021-02-10,DKI4 (Lubang Buaya),30,58,40,13,20,8,58,PM25,SEDANG
2021-02-11,DKI4 (Lubang Buaya),21,50,40,7,16,5,50,PM25,BAIK
2021-02-12,DKI4 (Lubang Buaya),33,65,40,12,19,5,65,PM25,SEDANG
2021-02-13,DKI4 (Lubang Buaya),43,62,40,11,25,9,62,PM25,SEDANG
2021-02-14,DKI4 (Lubang Buaya),34,57,39,11,26,9,57,PM25,SEDANG
2021-02-15,DKI4 (Lubang Buaya),42,66,40,11,25,12,66,PM25,SEDANG
2021-02-16,DKI4 (Lubang Buaya),43,63,40,11,23,13,63,PM25,SEDANG
2021-02-17,DKI4 (Lubang Buaya),38,66,40,22,21,15,66,PM25,SEDANG
2021-02-18,DKI4 (Lubang Buaya),37,60,41,10,22,11,60,PM25,SEDANG
2021-02-19,DKI4 (Lubang Buaya),25,51,39,16,20,13,51,PM25,SEDANG
2021-02-20,DKI4 (Lubang Buaya),33,63,39,12,24,12,63,PM25,SEDANG
2021-02-21,DKI4 (Lubang Buaya),21,50,39,10,23,10,50,PM25,BAIK
2021-02-22,DKI4 (Lubang Buaya),59,95,40,21,25,12,95,PM25,SEDANG
2021-02-23,DKI4 (Lubang Buaya),51,83,40,16,24,11,83,PM25,SEDANG
2021-02-24,DKI4 (Lubang Buaya),42,61,39,9,13,6,61,PM25,SEDANG
2021-02-25,DKI4 (Lubang Buaya),16,45,39,9,19,4,45,PM25,BAIK
2021-02-26,DKI4 (Lubang Buaya),48,75,39,11,23,13,75,PM25,SEDANG
2021-02-27,DKI4 (Lubang Buaya),59,94,40,13,30,12,94,PM25,SEDANG
2021-02-28,DKI4 (Lubang Buaya),68,113,39,18,24,14,113,PM25,TIDAK SEHAT
2021-02-01,DKI5 (Kebon Jeruk) Jakarta Barat,70,126,29,26,15,34,126,PM25,TIDAK SEHAT
2021-02-02,DKI5 (Kebon Jeruk) Jakarta Barat,---,55,28,9,14,25,55,PM25,SEDANG
2021-02-03,DKI5 (Kebon Jeruk) Jakarta Barat,23,40,27,5,16,10,40,PM25,BAIK
2021-02-04,DKI5 (Kebon Jeruk) Jakarta Barat,32,59,28,9,14,17,59,PM25,SEDANG
2021-02-05,DKI5 (Kebon Jeruk) Jakarta Barat,---,48,28,8,14,35,48,PM25,BAIK
2021-02-06,DKI5 (Kebon Jeruk) Jakarta Barat,---,34,21,4,24,6,34,PM25,BAIK
2021-02-07,DKI5 (Kebon Jeruk) Jakarta Barat,---,29,22,5,20,7,29,PM25,BAIK
2021-02-08,DKI5 (Kebon Jeruk) Jakarta Barat,---,41,23,6,17,11,41,PM25,BAIK
2021-02-09,DKI5 (Kebon Jeruk) Jakarta Barat,---,57,31,9,15,21,57,PM25,SEDANG
2021-02-10,DKI5 (Kebon Jeruk) Jakarta Barat,31,52,27,7,13,11,52,PM25,SEDANG
2021-02-11,DKI5 (Kebon Jeruk) Jakarta Barat,23,50,36,6,10,13,50,PM25,BAIK
2021-02-12,DKI5 (Kebon Jeruk) Jakarta Barat,35,65,38,11,11,42,65,PM25,SEDANG
2021-02-13,DKI5 (Kebon Jeruk) Jakarta Barat,27,55,27,5,20,8,55,PM25,SEDANG
2021-02-14,DKI5 (Kebon Jeruk) Jakarta Barat,36,61,24,9,20,11,61,PM25,SEDANG
2021-02-15,DKI5 (Kebon Jeruk) Jakarta Barat,32,56,24,10,18,17,56,PM25,SEDANG
2021-02-16,DKI5 (Kebon Jeruk) Jakarta Barat,24,35,21,7,22,9,35,PM25,BAIK
2021-02-17,DKI5 (Kebon Jeruk) Jakarta Barat,44,71,33,25,14,37,71,PM25,SEDANG
2021-02-18,DKI5 (Kebon Jeruk) Jakarta Barat,38,60,41,8,17,17,60,PM25,SEDANG
2021-02-19,DKI5 (Kebon Jeruk) Jakarta Barat,27,52,24,16,14,33,52,PM25,SEDANG
2021-02-20,DKI5 (Kebon Jeruk) Jakarta Barat,32,52,22,10,21,15,52,PM25,SEDANG
2021-02-21,DKI5 (Kebon Jeruk) Jakarta Barat,29,52,22,8,18,12,52,PM25,SEDANG
2021-02-22,DKI5 (Kebon Jeruk) Jakarta Barat,56,92,25,20,16,40,92,PM25,SEDANG
2021-02-23,DKI5 (Kebon Jeruk) Jakarta Barat,49,77,28,8,21,12,77,PM25,SEDANG
2021-02-24,DKI5 (Kebon Jeruk) Jakarta Barat,24,40,28,4,11,7,40,PM25,BAIK
2021-02-25,DKI5 (Kebon Jeruk) Jakarta Barat,28,52,31,7,13,23,52,PM25,SEDANG
2021-02-26,DKI5 (Kebon Jeruk) Jakarta Barat,24,49,21,7,22,18,49,PM25,BAIK
2021-02-27,DKI5 (Kebon Jeruk) Jakarta Barat,39,64,27,10,25,24,64,PM25,SEDANG
2021-02-28,DKI5 (Kebon Jeruk) Jakarta Barat,50,77,22,9,22,13,77,PM25,SEDANG
2021-01-01,DKI1 (Bunderan HI),38,53,29,6,31,13,53,PM25,SEDANG
